,age,income,expenses,score,purchases,savings,loan_amount,tenure,debt_ratio,gender,plan,region,education,marital_status,employment,device,channel,subscription_type
19,19.8,62339.3,39357.51,582.0,22,16471.3,63466.32,16.4,0.62,M,standard,West,bachelor,single,retired,tablet,online,free
20,40.1,48925.96,37295.94,653.0,21,11134.51,57256.35,29.7,0.12,M,premium,West,doctorate,single,employed,mobile,branch,paid
21,40.3,53677.35,35382.45,683.0,18,12951.73,139191.07,4.3,0.21,M,basic,East,bachelor,married,employed,mobile,callcenter,paid
22,46.0,63201.68,45024.83,580.0,24,7174.07,105898.95,17.0,0.28,M,standard,East,bachelor,divorced,employed,desktop,branch,free
23,40.1,75119.09,29059.88,711.0,21,12660.38,172378.94,26.4,0.62,M,basic,North,bachelor,married,retired,mobile,branch,free
24,45.8,54275.98,48446.71,589.0,21,16476.55,124430.58,4.5,0.34,M,basic,West,highschool,married,employed,mobile,online,paid
25,37.0,51269.53,56966.11,698.0,24,14176.57,128980.85,5.6,0.08,M,premium,East,doctorate,married,retired,desktop,online,free
26,39.4,63023.84,40901.47,590.0,26,19904.48,118329.78,20.8,0.31,M,basic,North,master,single,employed,mobile,online,paid
27,26.1,92363.0,27113.68,605.0,17,7769.53,123954.6,12.5,0.21,M,basic,Central,bachelor,single,retired,mobile,online,free
28,36.0,87832.43,51515.27,651.0,18,9164.79,78581.37,16.8,0.33,F,standard,East,bachelor,single,employed,desktop,branch,paid
29,13.9,41012.88,48193.09,593.0,31,17127.74,97176.72,5.8,0.16,F,basic,East,bachelor,single,employed,mobile,online,paid
30,39.5,57800.92,55299.19,574.0,22,17498.22,79026.36,1.1,0.39,M,basic,West,master,single,employed,desktop,branch,paid
31,34.6,62730.48,36283.02,622.0,20,19246.92,140573.97,11.0,0.26,F,standard,East,bachelor,married,retired,mobile,online,free
32,41.4,55631.84,54853.28,576.0,18,9689.95,121776.93,13.1,0.17,M,basic,East,bachelor,married,retired,mobile,online,free
33,31.5,60429.45,46104.21,763.0,21,17131.78,70310.88,1.9,0.03,F,basic,East,bachelor,single,employed,mobile,online,free
34,47.7,90080.42,32130.39,592.0,21,21012.92,149736.62,0.3,0.46,M,basic,East,bachelor,married,student,desktop,online,paid
35,15.7,110266.23,40083.68,669.0,25,15156.41,111232.33,24.4,0.16,F,premium,East,master,single,unemployed,desktop,branch,free
36,43.5,86652.42,35642.06,752.0,24,19807.8,159269.63,11.6,0.26,M,premium,West,master,single,retired,desktop,branch,paid
37,35.9,90520.96,42664.64,492.0,18,11694.73,162297.34,9.4,0.5,M,basic,East,master,single,employed,mobile,online,paid
38,46.7,51059.48,28962.23,524.0,17,22470.24,52717.08,14.8,0.16,M,standard,West,bachelor,single,employed,desktop,branch,paid
39,44.9,45519.44,36235.12,591.0,25,15291.77,163396.69,9.2,0.15,F,basic,South,doctorate,divorced,employed,desktop,online,paid
40,26.3,40334.82,31383.6,706.0,15,23491.59,111090.64,6.9,0.15,M,basic,West,doctorate,single,employed,mobile,online,paid
41,8.8,90732.65,45969.7,589.0,17,14873.57,125919.68,14.5,0.23,M,basic,South,bachelor,single,employed,desktop,online,paid
42,21.0,43570.2,54275.12,690.0,19,13590.43,64204.29,16.8,0.21,F,premium,North,bachelor,single,employed,tablet,branch,paid
43,34.7,65969.18,43936.05,548.0,25,13682.07,149758.85,8.6,0.09,M,standard,East,master,single,employed,mobile,online,paid
44,49.8,66351.32,44011.71,387.0,15,17766.18,84965.48,4.6,0.5,M,premium,West,master,single,employed,desktop,online,paid
45,50.4,72700.11,50374.05,601.0,23,9015.22,33746.97,18.0,0.16,M,basic,West,bachelor,widowed,employed,desktop,online,free
46,54.1,91665.3,50869.79,566.0,26,17114.03,147731.46,22.9,0.32,F,basic,North,bachelor,married,student,mobile,online,paid
47,30.8,40320.17,39926.28,555.0,18,11882.73,63273.89,20.1,0.1,O,standard,West,highschool,married,employed,desktop,online,paid
48,31.7,90122.09,38641.67,598.0,25,16071.74,106898.76,26.9,0.34,M,basic,East,bachelor,single,employed,desktop,branch,paid
49,26.9,81244.24,47584.47,628.0,19,12989.25,68705.88,7.6,0.1,F,standard,East,bachelor,single,employed,mobile,callcenter,trial
50,30.9,80083.17,38837.04,656.0,25,15348.7,112030.44,29.8,0.02,M,standard,East,highschool,single,employed,tablet,online,free
51,34.4,85061.99,26663.47,565.0,20,13019.07,193928.22,12.9,0.61,M,basic,East,highschool,single,student,mobile,online,paid
52,39.7,61790.36,32512.55,626.0,27,17402.34,142925.08,1.0,0.3,M,basic,East,highschool,single,employed,mobile,online,free
53,30.7,85630.08,46921.23,641.0,18,5761.2,93957.6,6.9,0.09,M,basic,East,highschool,single,employed,desktop,branch,trial
54,40.9,78497.42,47876.1,560.0,17,17706.59,87702.37,0.2,0.1,M,basic,West,master,single,retired,desktop,callcenter,free
55,34.4,56742.3,43599.34,724.0,16,19542.71,117477.38,10.2,0.15,M,standard,North,highschool,divorced,employed,mobile,branch,paid
56,36.5,72009.93,62022.2,537.0,17,18407.12,107888.74,24.1,0.16,M,basic,South,highschool,divorced,retired,mobile,online,trial
57,43.7,65432.58,37828.19,566.0,23,18218.8,80454.56,16.5,0.37,F,basic,East,master,divorced,employed,mobile,branch,paid
58,43.0,85760.97,48335.3,686.0,24,18578.39,98771.13,20.1,0.27,M,standard,East,bachelor,divorced,unemployed,desktop,online,paid
59,32.8,57940.64,44248.66,655.0,16,21530.69,105197.86,6.7,0.16,M,basic,North,master,married,retired,mobile,online,free
60,53.5,60606.88,42247.82,592.0,12,10252.86,83170.91,19.7,0.44,M,standard,East,bachelor,single,employed,mobile,callcenter,free
61,27.5,73880.9,30675.34,635.0,16,16915.32,103912.98,18.4,0.16,M,basic,East,highschool,single,employed,mobile,branch,free
62,19.1,67609.39,38726.94,722.0,26,9647.55,109306.31,19.6,0.24,M,premium,North,bachelor,married,employed,desktop,online,free
63,23.8,73682.86,21652.29,575.0,18,20388.34,89826.13,16.7,0.33,M,basic,Central,bachelor,married,retired,desktop,online,paid
64,49.0,76078.46,35565.97,609.0,21,13456.52,100488.78,24.1,0.27,M,standard,West,highschool,single,employed,mobile,branch,free
65,17.8,59475.04,48317.6,599.0,26,8683.67,30788.96,24.0,0.39,M,standard,South,bachelor,married,employed,mobile,branch,free
66,39.7,82109.08,46616.75,489.0,18,8768.61,77209.55,12.6,0.39,F,basic,East,bachelor,single,employed,mobile,online,paid
67,44.2,96595.39,43436.49,624.0,29,9854.99,127621.96,19.1,0.15,F,basic,South,doctorate,married,student,mobile,callcenter,paid
68,53.9,73795.46,36493.93,565.0,23,10263.23,138531.57,11.7,0.39,M,standard,West,bachelor,single,student,mobile,online,paid
69,28.9,76841.32,33019.12,556.0,25,18316.28,150306.08,9.1,0.06,M,premium,Central,highschool,married,employed,mobile,online,paid
70,25.4,95010.58,55180.14,534.0,26,20845.34,109695.25,2.3,0.73,M,standard,West,bachelor,single,student,mobile,online,paid
71,40.5,68956.51,41521.23,681.0,23,7456.31,101065.64,20.6,0.09,M,standard,East,bachelor,single,retired,desktop,online,trial
72,34.2,88503.71,32103.68,680.0,15,8801.15,106335.2,6.7,0.25,F,premium,North,bachelor,divorced,student,desktop,online,paid
73,41.7,63377.43,42688.9,669.0,20,10798.28,54046.3,1.4,0.44,M,standard,East,bachelor,single,student,desktop,online,paid
74,39.0,74988.81,43326.36,652.0,20,17449.58,44033.39,23.9,0.31,M,standard,West,bachelor,single,employed,mobile,online,free
75,27.7,57304.95,39987.06,465.0,15,13886.91,136786.13,9.8,0.39,M,basic,West,highschool,divorced,employed,desktop,branch,free
76,41.3,77287.56,39716.1,660.0,12,14296.7,111151.52,16.1,0.46,F,premium,East,bachelor,single,employed,desktop,branch,free
77,36.1,73052.74,41152.68,696.0,16,18099.86,152621.11,19.2,0.33,M,standard,Central,highschool,single,student,mobile,online,free
78,33.1,69559.17,42260.46,525.0,21,19700.26,87675.5,25.1,0.18,F,standard,West,master,married,student,mobile,online,paid
79,39.8,52182.87,55405.53,471.0,24,13312.24,141935.67,4.9,0.27,M,premium,East,highschool,married,employed,mobile,online,paid
80,49.8,47123.02,51349.76,598.0,29,15696.62,145439.52,15.3,0.28,O,basic,West,doctorate,married,unemployed,desktop,callcenter,paid
81,47.9,78069.64,42690.78,566.0,19,14137.8,110415.62,24.8,0.39,M,standard,East,bachelor,married,employed,mobile,branch,free
82,24.3,49012.76,47981.14,531.0,19,31609.17,186445.51,12.2,0.2,M,basic,East,master,divorced,employed,mobile,online,paid
83,41.0,60662.21,46926.4,600.0,16,10603.44,143561.21,16.2,0.22,M,basic,West,bachelor,single,employed,mobile,online,paid
84,19.4,89323.14,44813.75,559.0,21,23858.25,40961.1,28.9,0.26,M,standard,Central,master,married,employed,tablet,online,paid
85,33.0,78613.28,54214.57,574.0,20,11568.05,127324.6,2.9,0.19,M,basic,East,bachelor,single,unemployed,mobile,online,paid
86,36.0,79617.94,39468.36,551.0,25,14424.21,132208.6,19.3,0.2,M,basic,South,doctorate,married,student,desktop,online,paid
87,23.2,105095.81,38327.82,590.0,18,11624.64,80455.69,27.4,0.04,F,basic,North,master,divorced,employed,mobile,online,free
88,45.2,71827.22,34420.06,844.0,20,12267.47,47646.46,27.2,0.25,M,premium,East,doctorate,single,employed,desktop,callcenter,paid
89,23.4,78570.62,48033.01,659.0,15,13138.38,96203.76,0.7,0.33,M,standard,Central,bachelor,single,employed,tablet,callcenter,paid
90,22.8,92013.78,46533.36,532.0,20,14752.79,134936.58,1.3,0.07,M,basic,Central,master,single,employed,desktop,branch,free
91,38.4,40042.07,37303.42,403.0,20,10814.62,82561.41,23.3,0.23,M,standard,North,master,married,retired,mobile,online,paid
92,47.7,83866.25,27713.31,629.0,22,13781.63,180032.85,15.0,0.18,M,basic,North,highschool,married,student,mobile,branch,trial
93,28.8,59380.87,58897.83,662.0,17,12846.44,129187.24,26.2,0.24,F,premium,West,bachelor,single,employed,desktop,online,free
94,32.8,79174.34,48258.18,450.0,24,19990.43,88631.08,16.6,0.56,M,standard,East,master,single,student,mobile,branch,paid
95,19.7,68372.97,36286.7,440.0,25,19362.68,87126.02,2.1,0.44,F,basic,East,doctorate,single,employed,mobile,branch,paid
96,41.5,52168.33,53059.62,600.0,23,13605.82,108262.25,10.7,0.32,F,basic,East,doctorate,married,employed,desktop,online,trial
97,36.8,65377.22,37511.92,631.0,22,18038.31,150025.76,4.2,0.15,M,standard,South,bachelor,single,employed,mobile,online,paid
98,17.3,66781.67,41527.28,709.0,24,11815.34,123690.84,6.8,0.08,M,premium,North,bachelor,married,student,desktop,online,free
99,31.7,88840.87,37355.99,601.0,18,12231.99,155709.6,13.6,0.63,M,standard,South,master,married,employed,mobile,online,free
100,13.4,72032.45,53753.23,711.0,25,11455.97,102937.65,8.6,0.39,F,standard,North,master,single,employed,mobile,online,free
101,57.2,88387.92,30918.82,691.0,20,16092.55,115270.43,0.4,0.28,F,premium,East,bachelor,married,student,desktop,online,paid
102,35.4,66912.86,41260.63,552.0,22,11841.93,123643.78,8.2,0.24,M,standard,East,master,single,employed,desktop,branch,paid
103,39.0,88185.41,47811.25,621.0,18,10057.23,145975.23,21.2,0.61,M,basic,Central,master,single,employed,mobile,online,paid
104,39.3,58896.4,41283.07,632.0,21,9850.71,46454.66,10.7,0.16,M,premium,North,bachelor,single,retired,desktop,online,paid
105,52.6,78094.6,27429.73,542.0,17,13211.39,146565.77,15.4,0.46,M,basic,North,master,single,unemployed,desktop,online,free
106,39.3,74036.48,39277.07,449.0,24,8579.54,100071.19,23.4,0.11,M,standard,South,highschool,single,employed,mobile,online,paid
107,32.1,69958.46,31977.5,629.0,11,6561.31,115000.88,3.3,0.31,F,standard,East,bachelor,single,employed,tablet,online,trial
108,32.7,62823.01,53071.06,593.0,18,3355.84,121965.79,23.4,0.38,F,standard,South,highschool,married,employed,mobile,online,paid
109,41.0,91504.05,27252.9,624.0,17,14573.49,128124.13,24.9,0.1,M,standard,West,bachelor,single,employed,desktop,callcenter,free
110,38.4,66362.85,38363.03,605.0,22,23935.38,206647.25,10.0,0.23,F,basic,East,highschool,single,employed,mobile,online,paid
111,45.2,80240.61,42807.45,552.0,12,14489.66,172974.02,8.9,0.43,M,standard,South,bachelor,single,student,mobile,online,free
112,43.3,63422.22,45258.35,481.0,13,19902.63,129978.28,29.7,0.1,F,premium,West,bachelor,single,retired,desktop,online,free
113,16.5,73863.95,48438.5,677.0,19,11522.78,114746.22,5.4,0.23,F,basic,West,highschool,married,student,mobile,online,paid
114,41.1,66211.01,41046.91,746.0,32,17270.22,73143.87,29.7,0.19,M,basic,North,bachelor,single,student,desktop,online,paid
115,46.1,104441.28,30964.29,658.0,14,11068.56,179953.27,14.8,0.23,M,standard,East,bachelor,married,retired,mobile,online,free
116,21.1,97855.93,32069.77,576.0,26,18714.4,103218.85,1.9,0.21,F,basic,East,master,married,employed,desktop,online,paid
117,23.7,67955.43,34876.43,709.0,22,17425.81,138076.52,14.7,0.08,M,premium,Central,bachelor,married,student,desktop,online,trial
118,40.9,66350.08,42364.97,661.0,17,16677.58,217200.43,26.6,0.42,F,premium,Central,master,married,retired,mobile,online,free
119,44.6,57407.11,36475.11,583.0,31,16389.96,94121.64,13.3,0.14,M,basic,West,highschool,single,retired,mobile,online,paid
120,27.8,83549.4,17383.17,610.0,15,20511.52,187101.33,7.3,0.49,M,premium,Central,bachelor,married,employed,mobile,online,paid
121,32.2,89685.61,50678.41,501.0,21,16729.7,78088.99,12.0,0.2,F,standard,North,bachelor,single,employed,mobile,branch,free
122,41.5,52507.68,50236.63,652.0,20,7641.07,82777.16,29.6,0.14,M,basic,South,bachelor,single,student,mobile,online,paid
123,24.0,71503.03,44564.05,583.0,28,18810.93,175817.94,13.8,0.45,M,standard,East,bachelor,single,unemployed,mobile,online,free
124,37.1,81059.89,53311.09,567.0,15,16071.03,97752.47,21.5,0.13,F,basic,West,master,single,employed,mobile,callcenter,free
125,19.4,81513.3,44366.95,537.0,18,14686.53,196506.57,9.8,0.07,M,standard,East,bachelor,married,employed,mobile,branch,free
126,35.8,69957.87,41109.45,682.0,17,15156.0,82342.55,9.2,0.51,M,basic,North,bachelor,single,employed,tablet,online,paid
127,38.7,65521.81,41759.57,459.0,11,11918.43,145539.94,27.3,0.35,M,basic,East,master,married,employed,mobile,online,free
128,28.1,50661.31,26444.68,457.0,17,15918.19,39288.95,3.4,0.17,M,basic,West,highschool,single,student,mobile,online,paid
129,31.7,93137.81,20138.5,621.0,20,9229.2,130396.11,6.4,0.12,M,basic,Central,master,single,employed,mobile,online,free
130,37.6,42956.51,33297.4,819.0,30,17132.9,36541.1,11.0,0.18,F,basic,East,highschool,divorced,employed,desktop,online,free
131,48.1,56940.74,29174.55,550.0,15,8331.89,115822.45,6.7,0.18,O,standard,West,highschool,married,student,mobile,online,free
132,41.4,69715.57,33037.79,580.0,16,19514.36,158202.66,8.4,0.02,F,standard,East,master,married,employed,mobile,online,paid
133,55.5,75996.54,39176.11,595.0,27,19293.71,165541.53,24.7,0.55,M,premium,West,master,single,employed,desktop,online,paid
134,32.6,69507.48,40999.73,596.0,28,11546.24,154473.87,2.1,0.37,F,basic,East,highschool,single,student,tablet,online,paid
135,25.9,78935.12,45844.96,480.0,23,18790.18,142738.73,7.6,0.43,F,basic,East,master,single,retired,mobile,online,paid
136,30.6,97032.03,46353.14,630.0,21,18501.5,117979.85,15.3,0.62,F,premium,Central,highschool,single,employed,desktop,online,paid
137,43.3,58956.12,41307.38,523.0,23,19223.71,159512.82,5.0,0.33,F,standard,East,bachelor,divorced,retired,mobile,callcenter,paid
138,14.6,64539.23,42428.98,536.0,22,7644.75,102595.39,15.9,0.45,M,basic,West,master,married,employed,tablet,online,free
139,34.6,58922.98,39404.92,570.0,18,18406.0,101968.15,5.5,0.09,M,premium,East,bachelor,single,employed,mobile,branch,free
140,41.8,84614.93,30144.18,697.0,30,14075.46,58373.92,6.4,0.13,F,standard,Central,bachelor,married,employed,mobile,online,free
141,23.9,61288.46,48689.09,697.0,30,10443.41,81952.21,25.7,0.31,M,premium,West,highschool,married,employed,mobile,online,paid
142,42.8,68527.64,32045.15,512.0,13,21893.43,54970.1,4.7,0.56,M,standard,West,bachelor,married,employed,mobile,online,paid
143,39.8,75829.7,39426.07,549.0,12,16443.5,192097.55,22.1,0.33,M,basic,East,highschool,single,retired,desktop,online,paid
144,57.6,92530.45,43673.34,637.0,21,11760.4,113148.4,13.3,0.33,M,standard,East,bachelor,widowed,employed,tablet,branch,free
145,33.2,67727.82,41751.09,521.0,18,1088.93,120669.18,20.6,0.46,F,standard,East,master,single,employed,mobile,online,free
146,43.5,77212.77,46581.11,583.0,16,14904.07,158098.46,3.2,0.57,M,standard,East,bachelor,married,unemployed,mobile,online,trial
147,37.0,89458.87,54708.75,648.0,26,10171.4,101712.39,26.0,0.52,M,basic,East,bachelor,single,employed,mobile,online,paid
148,30.0,67315.42,44203.43,746.0,20,13332.7,88483.26,8.7,0.04,M,standard,East,bachelor,single,retired,mobile,callcenter,paid
149,15.8,85535.29,34270.37,417.0,24,19060.42,176103.82,29.4,0.33,M,basic,East,master,married,employed,tablet,online,trial
150,19.0,47975.06,29241.67,531.0,16,20988.43,118382.55,23.4,0.38,M,premium,South,highschool,married,student,desktop,branch,paid
151,28.1,75953.03,33825.66,608.0,17,20082.81,139715.79,7.5,0.23,M,standard,West,master,single,employed,mobile,online,free
152,47.9,77044.63,66241.84,511.0,14,8762.17,64886.5,20.4,0.05,F,basic,North,bachelor,single,student,mobile,online,paid
153,32.4,66203.14,38272.0,742.0,26,17296.94,168498.39,2.0,0.53,M,standard,East,bachelor,divorced,retired,desktop,online,trial
154,35.8,64049.6,47663.55,715.0,20,28550.34,71290.67,29.1,0.09,M,standard,East,bachelor,single,student,desktop,branch,free
155,22.5,86408.97,27177.31,543.0,19,17281.02,66546.99,18.5,0.6,F,basic,East,master,married,employed,desktop,online,trial
156,45.6,85918.67,36871.74,573.0,19,8501.98,143556.08,29.5,0.09,M,basic,West,highschool,married,unemployed,desktop,branch,free
157,17.7,60511.34,47384.66,624.0,12,20403.71,149178.6,2.9,0.24,M,premium,Central,highschool,single,unemployed,mobile,online,trial
158,13.3,83593.78,44320.21,662.0,25,18769.93,135639.96,23.6,0.23,M,standard,South,master,single,retired,mobile,callcenter,free
159,42.9,72822.44,42427.96,564.0,17,13405.59,68943.78,9.5,0.41,M,premium,East,master,single,student,mobile,online,free
160,45.3,73897.03,39326.42,507.0,23,11863.38,118595.52,1.6,0.52,M,premium,West,master,married,employed,mobile,online,trial
161,45.3,47190.89,42969.42,594.0,18,1680.48,217667.89,30.0,0.17,M,standard,South,highschool,single,employed,tablet,online,paid
162,32.4,89104.23,38317.27,689.0,21,24995.79,106795.47,14.0,0.01,M,standard,East,doctorate,married,retired,desktop,online,paid
163,31.0,82891.39,35052.91,465.0,17,14036.27,115890.54,28.9,0.38,M,premium,East,bachelor,divorced,employed,mobile,online,free
164,28.7,55091.43,35065.02,539.0,15,20430.33,103637.14,19.3,0.37,M,basic,East,highschool,single,retired,mobile,online,free
165,15.1,79278.76,29320.98,475.0,25,15513.66,166703.94,6.2,0.1,M,premium,North,doctorate,married,student,desktop,online,trial
166,36.4,84132.87,45909.94,748.0,16,23283.52,86313.4,21.5,0.43,M,basic,South,master,married,retired,tablet,callcenter,paid
167,42.3,70156.94,47101.41,583.0,24,15783.43,62387.18,8.4,0.56,M,premium,West,master,married,retired,mobile,online,paid
168,24.7,57992.65,49617.58,630.0,10,21790.75,68696.31,28.0,0.17,M,standard,East,highschool,single,employed,mobile,online,free
169,31.1,86106.17,49357.36,675.0,29,15978.24,70939.07,29.6,0.26,M,standard,West,master,single,unemployed,mobile,online,paid
170,9.1,69717.43,54278.99,563.0,26,14627.85,124401.2,3.3,0.1,M,premium,North,highschool,married,employed,mobile,online,trial
171,35.0,64540.83,36258.11,500.0,16,12662.57,94767.76,12.4,0.37,F,premium,West,master,divorced,unemployed,mobile,branch,paid
172,17.8,73772.15,47018.29,703.0,15,9441.02,18181.37,10.2,0.5,F,basic,West,master,single,employed,mobile,online,paid
173,28.5,84979.53,45160.42,646.0,20,16823.84,99119.38,1.6,0.4,M,basic,East,highschool,single,employed,mobile,callcenter,paid
174,36.7,61476.2,58042.21,677.0,15,5448.31,108015.51,25.6,0.31,M,standard,East,bachelor,single,employed,mobile,online,trial
175,38.0,74063.51,46671.47,635.0,21,14102.94,105475.31,6.5,0.32,M,basic,East,bachelor,married,student,mobile,branch,trial
176,46.3,53296.54,29023.2,629.0,19,14219.85,177644.94,19.4,0.4,M,basic,East,doctorate,single,unemployed,mobile,online,paid
177,17.1,68683.47,48814.62,630.0,22,9317.92,174504.39,26.0,0.04,M,basic,East,bachelor,married,student,mobile,callcenter,paid
178,37.4,65959.66,43739.78,739.0,13,21037.37,91250.41,22.3,0.31,F,standard,West,bachelor,divorced,employed,tablet,online,free
179,54.2,65182.66,37932.54,651.0,19,12791.37,64901.16,25.2,0.36,M,premium,East,bachelor,divorced,unemployed,mobile,online,free
180,39.8,80977.29,39929.83,573.0,34,13486.0,159169.7,8.5,0.24,F,standard,East,bachelor,single,employed,desktop,online,paid
181,33.4,64616.35,42394.09,677.0,25,8031.77,120274.22,24.2,0.46,M,premium,East,master,married,employed,desktop,branch,free
182,55.5,61167.11,25772.14,618.0,24,13636.82,101392.6,25.1,0.09,M,standard,South,bachelor,single,employed,desktop,online,free
183,22.0,75458.4,41358.19,571.0,13,14349.0,157781.67,15.5,0.04,M,standard,West,bachelor,married,employed,mobile,callcenter,paid
184,35.6,93967.82,41333.68,452.0,19,18875.98,95880.45,28.0,0.32,M,standard,East,master,married,employed,mobile,online,paid
185,30.4,62805.69,41374.74,694.0,18,25656.77,131872.83,3.3,0.04,F,basic,East,master,single,retired,tablet,branch,paid
186,33.2,57622.82,32355.06,665.0,25,22287.17,192369.8,22.2,0.34,M,standard,East,bachelor,single,employed,mobile,online,paid
187,25.0,60108.76,36606.57,605.0,23,17167.25,62985.75,11.2,0.6,M,premium,West,bachelor,single,employed,desktop,callcenter,paid
188,39.1,74977.08,41761.8,802.0,16,10145.42,129398.71,3.0,0.62,M,basic,West,master,single,unemployed,tablet,online,paid
189,28.1,80500.57,38387.97,467.0,11,16558.56,109507.4,7.3,0.55,F,standard,West,bachelor,married,employed,mobile,online,paid
190,20.9,55698.44,50122.38,703.0,21,13803.66,129540.5,12.5,0.17,F,premium,East,bachelor,single,retired,mobile,branch,paid
191,29.8,58379.83,37147.79,543.0,19,7309.48,147742.33,28.2,0.48,M,standard,West,bachelor,single,retired,mobile,branch,trial
192,24.7,80410.87,46143.74,617.0,16,9424.25,132017.74,16.8,0.52,F,standard,North,highschool,single,student,mobile,online,paid
193,34.8,40623.21,48492.43,537.0,21,12577.93,131205.47,15.9,0.15,F,basic,East,master,married,student,mobile,online,paid
194,37.4,57859.48,44620.28,738.0,23,14951.95,125379.21,3.5,0.2,M,basic,East,master,single,employed,tablet,callcenter,trial
195,20.6,61036.08,47363.78,603.0,21,12471.94,89393.76,2.3,0.18,M,standard,North,bachelor,divorced,unemployed,tablet,online,free
196,36.4,62972.76,26191.16,688.0,20,9314.69,100976.04,12.4,0.39,F,standard,West,master,single,employed,mobile,callcenter,free
197,21.7,78987.34,36574.4,546.0,22,13830.14,131456.42,21.5,0.26,M,standard,East,highschool,single,employed,tablet,online,free
198,48.4,74238.81,52745.27,690.0,26,10557.56,100452.06,24.2,0.24,F,basic,North,bachelor,widowed,employed,tablet,online,paid
199,28.1,68835.58,28330.39,618.0,17,10626.97,98403.23,26.7,0.14,M,premium,West,highschool,single,employed,mobile,branch,free
200,31.3,67250.67,38025.9,506.0,24,18640.37,123646.53,7.6,0.51,F,standard,South,master,single,retired,mobile,online,paid
201,38.4,85962.72,46556.41,618.0,17,13130.34,184459.9,14.9,0.4,M,basic,East,highschool,single,retired,mobile,online,paid
202,35.8,51049.69,44961.41,477.0,15,17724.77,97699.9,20.2,0.25,M,premium,South,bachelor,single,retired,desktop,online,paid
203,35.8,41998.5,46163.07,650.0,23,9620.79,87269.26,19.2,0.35,F,premium,West,master,single,employed,mobile,branch,free
204,33.9,63164.44,42267.36,522.0,22,17202.42,110553.22,18.1,0.35,M,basic,East,bachelor,single,employed,desktop,online,paid
205,17.8,65025.57,38630.62,583.0,20,15998.35,169167.4,12.7,0.47,M,premium,East,bachelor,single,employed,mobile,online,trial
206,18.7,54648.68,37736.16,539.0,28,18903.95,167373.08,22.7,0.18,M,standard,East,master,single,employed,mobile,online,paid
207,37.7,64925.41,43798.13,613.0,23,4302.18,103609.32,4.2,0.54,M,premium,North,master,single,employed,desktop,online,paid
208,21.9,96443.82,37503.28,643.0,28,9895.71,196626.24,23.8,0.3,M,premium,South,doctorate,single,retired,desktop,callcenter,paid
209,43.9,65639.58,46294.08,459.0,16,13061.48,134222.44,3.4,0.05,M,standard,South,master,single,employed,desktop,branch,paid
210,35.1,47909.38,50433.73,519.0,18,21725.97,114672.14,26.0,0.12,F,standard,West,bachelor,single,employed,mobile,online,free
