,age,income,expenses,score,purchases,savings,loan_amount,tenure,debt_ratio,gender,plan,region,education,marital_status,employment,device,channel,subscription_type
21,34.1,76389.66,33632.88,618.0,20,20752.23,185776.22,21.8,0.26,F,standard,West,highschool,single,employed,mobile,callcenter,paid
22,25.3,91434.55,44781.73,557.0,25,24051.94,100917.65,29.8,0.26,F,basic,East,master,married,employed,mobile,branch,paid
23,31.2,51624.63,26676.18,638.0,27,9868.2,73173.54,1.2,0.15,F,standard,West,highschool,single,retired,mobile,branch,paid
24,46.4,55464.93,44216.51,555.0,19,20190.07,71609.04,18.8,0.26,M,premium,East,bachelor,single,employed,mobile,callcenter,paid
25,36.4,67100.54,40886.47,574.0,21,14591.21,124671.49,0.6,0.29,F,standard,South,highschool,single,employed,mobile,online,paid
26,31.3,50659.31,49670.21,647.0,24,10982.66,166092.56,22.0,0.52,F,standard,North,bachelor,divorced,unemployed,mobile,online,paid
27,32.0,65832.69,29527.1,581.0,24,18641.2,157833.64,10.0,0.2,M,basic,South,master,divorced,employed,mobile,callcenter,paid
28,36.1,98361.41,24360.19,490.0,20,12364.81,103371.91,11.6,0.15,M,basic,West,highschool,married,student,mobile,online,free
29,46.4,88112.77,39669.0,437.0,21,12927.33,147893.44,16.5,0.45,O,basic,South,bachelor,married,employed,desktop,online,free
30,21.9,42538.75,42102.28,535.0,25,2447.1,91064.91,26.0,0.36,F,basic,East,bachelor,single,employed,mobile,online,paid
31,32.3,82056.87,33173.73,535.0,18,17544.09,123953.02,29.9,0.19,M,premium,North,master,single,unemployed,desktop,online,trial
32,43.6,73663.67,37968.84,623.0,19,15806.49,129146.03,7.6,0.29,M,basic,East,highschool,married,employed,desktop,branch,free
33,20.6,58726.04,46156.33,744.0,13,15704.75,95220.06,6.8,0.13,M,basic,North,highschool,single,employed,mobile,callcenter,free
34,48.2,69286.59,38114.68,587.0,27,14174.73,120859.18,6.8,0.15,M,basic,West,bachelor,single,student,desktop,online,paid
35,26.7,82674.85,38311.05,639.0,31,17205.87,212848.72,27.8,0.01,M,basic,West,bachelor,married,unemployed,mobile,online,free
36,41.7,59176.49,34149.82,596.0,21,11762.87,163900.05,15.4,0.45,F,premium,North,bachelor,married,employed,mobile,branch,free
37,35.9,78433.01,30749.72,552.0,17,6433.89,83522.41,10.7,0.1,O,basic,North,highschool,single,employed,mobile,online,paid
38,38.5,75693.25,18031.24,486.0,21,9598.46,154164.38,21.6,0.5,F,premium,South,bachelor,married,employed,mobile,callcenter,trial
39,22.9,40669.54,40952.59,641.0,21,14612.12,112362.1,15.6,0.44,F,basic,West,bachelor,single,employed,mobile,online,paid
40,36.2,49689.88,37669.26,617.0,20,12922.28,66788.6,10.8,0.13,F,standard,West,highschool,married,employed,mobile,online,free
41,31.4,48223.59,31800.92,674.0,26,14829.07,148411.74,8.9,0.14,M,basic,East,bachelor,divorced,employed,mobile,callcenter,free
42,47.0,78726.9,28559.7,607.0,14,13733.74,100061.66,1.5,0.18,F,premium,North,bachelor,divorced,employed,mobile,online,free
43,29.6,77405.96,35727.22,425.0,17,23745.25,133040.02,11.9,0.2,M,standard,West,bachelor,married,unemployed,mobile,callcenter,paid
44,34.9,77914.68,51041.7,772.0,26,9646.32,162159.7,3.0,0.12,M,basic,North,bachelor,married,employed,mobile,online,free
45,32.1,70322.62,41736.61,583.0,24,13112.52,158581.66,18.4,0.18,M,basic,North,highschool,married,employed,desktop,online,paid
46,38.9,61711.16,37482.17,609.0,24,15471.22,122527.07,21.5,0.38,F,basic,West,doctorate,divorced,employed,mobile,callcenter,free
47,47.0,69470.06,43126.63,682.0,26,4855.58,108815.22,0.9,0.25,M,basic,North,bachelor,single,employed,tablet,online,paid
48,35.2,52830.76,47636.2,648.0,16,18837.21,112630.38,14.3,0.3,M,basic,North,highschool,single,retired,desktop,branch,paid
49,39.5,55614.14,44969.6,697.0,14,12118.76,84213.18,3.3,0.26,M,standard,North,bachelor,married,employed,mobile,branch,paid
50,24.7,71899.59,49315.09,551.0,19,17516.11,93945.64,13.1,0.24,F,basic,East,bachelor,married,employed,desktop,callcenter,paid
51,35.7,68469.19,50579.71,504.0,15,16381.15,127384.17,20.9,0.5,F,standard,West,master,single,retired,mobile,branch,paid
52,22.9,62381.01,34172.51,622.0,14,5939.39,112316.87,25.0,0.19,O,basic,East,bachelor,married,employed,mobile,callcenter,free
53,26.0,90287.52,36117.16,511.0,20,11779.93,-15618.85,8.2,0.15,M,basic,South,bachelor,divorced,employed,desktop,online,paid
54,47.5,77595.62,36522.64,575.0,22,9798.02,125184.86,11.7,0.22,M,standard,West,master,single,employed,desktop,online,free
55,34.2,74998.8,43049.1,628.0,21,8848.87,89703.51,19.4,0.48,F,basic,West,highschool,married,employed,mobile,callcenter,paid
56,28.6,76173.73,43012.7,706.0,26,20852.43,106804.28,17.7,0.24,M,basic,East,highschool,single,employed,mobile,branch,paid
57,35.1,81538.21,36077.12,574.0,20,17223.59,110034.08,18.0,0.09,F,basic,West,highschool,single,employed,mobile,online,free
58,21.0,53536.27,49254.43,658.0,13,25053.91,107473.26,10.0,0.28,M,basic,West,bachelor,single,student,mobile,callcenter,trial
59,52.3,77115.36,51722.54,620.0,20,15058.66,58108.99,6.7,0.29,F,basic,West,bachelor,single,retired,desktop,online,paid
60,30.1,67232.72,45228.83,586.0,19,13793.64,144945.21,5.2,0.16,F,premium,West,highschool,married,employed,desktop,online,free
61,37.5,77089.56,46211.48,546.0,19,19782.47,199389.2,13.8,0.33,M,basic,South,bachelor,married,retired,mobile,online,paid
62,32.3,98443.46,42911.99,627.0,20,13841.62,128727.67,28.3,0.13,O,basic,West,highschool,divorced,student,mobile,online,trial
63,34.3,62997.32,24809.13,678.0,22,13671.88,254028.62,5.7,0.25,F,basic,East,bachelor,married,unemployed,mobile,branch,paid
64,24.8,97783.73,39210.39,561.0,19,22625.59,79485.14,2.9,0.36,M,standard,South,master,single,employed,mobile,online,paid
65,31.7,71812.26,50765.92,573.0,25,19281.3,170702.37,27.9,0.09,M,basic,North,master,married,employed,desktop,branch,free
66,41.7,65171.34,20440.22,524.0,16,15416.48,34039.2,25.9,0.53,F,standard,North,bachelor,married,employed,desktop,online,free
67,28.7,52250.27,57552.49,677.0,20,20757.76,96464.1,4.3,0.26,M,basic,North,highschool,married,employed,desktop,branch,paid
68,33.6,50705.87,35104.74,625.0,18,9813.21,85034.2,15.7,0.1,M,basic,East,bachelor,divorced,employed,tablet,online,free
69,53.1,65031.97,42730.26,562.0,18,23872.27,62917.29,8.8,0.1,F,basic,East,bachelor,single,retired,mobile,online,free
70,35.8,74477.55,43469.27,613.0,20,13972.23,108674.07,29.3,0.06,M,basic,East,bachelor,single,employed,mobile,online,paid
71,26.2,61794.06,32872.64,618.0,18,14663.52,104215.79,17.2,0.26,M,premium,West,highschool,married,employed,mobile,online,trial
72,46.5,50461.17,39008.61,690.0,28,3900.69,134111.15,6.2,0.25,M,basic,North,bachelor,married,student,desktop,callcenter,paid
73,43.5,84702.39,44432.63,770.0,20,17122.96,132988.25,13.8,0.33,M,basic,West,highschool,divorced,employed,mobile,online,free
74,43.8,85112.0,53879.4,670.0,25,11423.63,137074.81,29.2,0.56,M,basic,South,highschool,single,employed,mobile,callcenter,paid
75,37.9,84229.75,35046.83,764.0,16,16554.11,108125.32,24.8,0.24,F,premium,South,master,married,employed,mobile,online,trial
76,37.5,77717.39,47618.02,747.0,24,15043.88,61970.16,5.0,0.28,F,basic,North,bachelor,married,employed,mobile,online,paid
77,48.9,60078.51,39809.43,572.0,14,19688.44,138082.2,4.4,0.15,F,standard,North,bachelor,single,employed,desktop,online,trial
78,32.5,77511.75,33766.16,653.0,18,22883.93,88321.14,4.1,0.1,F,standard,East,highschool,married,employed,mobile,branch,free
79,45.1,60979.24,25490.67,358.0,21,13510.21,118526.45,4.9,0.46,M,standard,East,bachelor,married,employed,tablet,online,free
80,38.1,72506.4,35901.55,646.0,25,13911.72,131971.13,18.2,0.13,F,standard,South,bachelor,divorced,employed,tablet,online,free
81,43.1,69427.92,35037.02,427.0,20,10174.35,156191.16,6.8,0.16,F,basic,West,master,married,employed,mobile,online,free
82,35.7,59168.48,46180.11,595.0,21,7503.16,90602.35,10.5,0.39,M,basic,East,highschool,divorced,student,mobile,online,free
83,32.5,59535.04,37179.83,643.0,7,16360.35,58378.5,27.6,0.2,M,basic,East,bachelor,divorced,employed,mobile,online,paid
84,27.3,79831.18,45983.94,568.0,26,18779.71,113801.25,24.8,0.49,F,basic,North,bachelor,single,employed,mobile,online,trial
85,26.4,40044.62,47047.06,639.0,25,22373.47,113399.21,28.8,0.1,F,basic,West,master,married,student,mobile,callcenter,paid
86,46.3,90138.42,24473.25,614.0,14,12039.6,159794.61,7.1,0.22,F,standard,North,bachelor,single,employed,mobile,online,free
87,27.1,82563.16,50699.49,575.0,29,16132.24,136521.09,7.5,0.17,M,premium,East,bachelor,divorced,employed,mobile,branch,free
88,40.5,76098.34,32874.36,601.0,25,19763.15,98632.47,29.8,0.46,F,premium,East,bachelor,married,employed,mobile,online,paid
89,32.1,57156.51,46962.09,410.0,13,17452.95,112329.31,23.9,0.27,F,standard,West,master,single,student,mobile,branch,free
90,27.3,52093.07,43203.1,769.0,21,2128.54,99397.84,23.7,0.23,M,basic,North,master,widowed,retired,mobile,online,paid
91,45.9,32712.67,45472.19,501.0,20,7608.83,161331.17,28.6,0.06,F,basic,South,bachelor,divorced,student,desktop,branch,trial
92,51.0,72542.6,39135.29,592.0,21,7751.98,48237.54,1.4,0.13,F,basic,West,highschool,single,employed,mobile,online,paid
93,15.9,50540.0,36780.16,745.0,21,12399.7,125972.68,6.8,0.07,F,basic,North,bachelor,single,student,mobile,callcenter,paid
94,36.3,102448.73,35813.47,643.0,19,17305.81,120158.9,19.8,0.38,F,premium,West,bachelor,married,unemployed,mobile,callcenter,free
95,41.3,94896.11,20515.68,603.0,20,15324.53,136358.86,20.2,0.12,M,standard,West,master,single,retired,mobile,online,paid
96,35.8,92558.5,50448.21,583.0,14,13388.31,106838.14,5.2,0.04,F,standard,South,master,married,employed,desktop,callcenter,free
97,58.2,63143.99,35766.62,494.0,20,16321.01,121436.65,22.5,0.4,F,basic,East,highschool,single,employed,mobile,online,paid
98,57.8,44085.23,56083.2,680.0,19,12555.88,170238.63,15.6,0.33,M,premium,South,bachelor,married,employed,desktop,callcenter,paid
99,39.0,80188.44,29925.88,582.0,16,8213.48,184576.37,12.5,0.39,F,basic,North,bachelor,divorced,employed,mobile,online,paid
100,27.6,66899.57,39983.73,691.0,21,17454.18,41446.38,11.8,0.11,F,basic,East,bachelor,single,employed,desktop,branch,trial
101,26.5,60106.75,34105.14,582.0,24,19109.77,116901.22,12.5,0.1,M,basic,West,bachelor,married,employed,mobile,branch,paid
102,14.6,59394.47,37009.06,584.0,15,16915.34,109305.93,22.1,0.01,F,basic,South,bachelor,married,employed,mobile,online,paid
103,46.7,65619.63,41970.55,577.0,22,13630.0,175853.3,8.1,0.12,M,basic,East,bachelor,divorced,retired,desktop,online,trial
104,25.5,66117.34,36149.34,633.0,15,18735.5,213486.12,20.7,0.75,M,basic,South,highschool,divorced,employed,mobile,callcenter,paid
105,41.9,66747.59,39098.27,683.0,16,7287.59,62926.44,21.7,0.41,M,premium,East,highschool,divorced,employed,mobile,online,free
106,42.6,71497.66,35472.92,656.0,20,21255.56,104079.27,9.0,0.27,F,standard,North,highschool,married,employed,mobile,online,trial
107,30.3,79693.66,31410.05,789.0,16,13309.83,205178.7,18.6,0.4,F,basic,North,bachelor,divorced,student,mobile,branch,paid
108,27.1,68697.28,44293.65,616.0,19,18419.52,89285.03,12.4,0.34,M,basic,West,master,married,student,mobile,online,free
109,34.3,61174.23,26102.31,608.0,26,14116.71,94546.67,5.9,0.18,M,basic,North,bachelor,widowed,employed,mobile,callcenter,paid
110,32.6,75211.95,38962.79,557.0,19,19420.18,155818.11,29.1,0.38,F,basic,North,bachelor,married,employed,desktop,branch,free
111,45.8,70136.4,35850.09,743.0,12,13975.0,146504.22,19.8,0.66,M,standard,East,bachelor,single,employed,desktop,branch,free
112,56.4,82813.11,38712.2,740.0,27,17314.41,150128.77,6.6,0.42,F,basic,West,highschool,married,employed,mobile,online,paid
113,38.5,76342.33,47369.03,770.0,12,14096.63,131391.51,8.8,0.38,F,basic,South,bachelor,single,employed,desktop,online,paid
114,44.4,78821.89,45024.09,626.0,17,16868.4,140876.75,1.1,0.66,M,premium,West,highschool,married,retired,mobile,branch,free
115,23.5,71536.51,36432.39,644.0,14,25585.84,60881.49,20.3,0.04,F,standard,West,master,married,employed,desktop,branch,free
116,50.4,70805.76,45607.45,669.0,23,13771.26,136576.41,9.7,0.43,F,standard,South,highschool,married,employed,desktop,branch,trial
117,60.7,64472.69,47525.06,556.0,18,2959.47,145059.11,9.3,0.16,M,basic,West,bachelor,single,retired,desktop,online,paid
118,41.5,87509.62,38100.67,567.0,21,18135.71,115401.94,26.6,0.27,F,standard,North,highschool,married,employed,tablet,branch,paid
119,27.0,61414.45,32408.95,723.0,31,15787.57,218845.38,15.2,0.23,F,basic,South,doctorate,divorced,student,mobile,branch,free
120,33.6,78915.02,40593.91,545.0,22,15561.69,156400.14,16.3,0.11,F,standard,South,bachelor,single,employed,desktop,callcenter,free
121,25.1,38917.59,42009.99,575.0,24,14356.52,119801.6,22.9,0.23,M,basic,South,highschool,married,employed,desktop,online,free
122,26.1,58554.08,27943.19,447.0,15,18291.83,77180.12,18.5,0.15,F,basic,West,highschool,divorced,unemployed,desktop,online,free
123,28.2,87935.68,28921.65,469.0,20,26952.3,149179.66,13.3,0.25,M,basic,North,bachelor,divorced,student,desktop,online,free
124,46.9,51831.41,29201.42,673.0,19,9942.79,114797.73,28.5,0.12,F,standard,North,highschool,married,unemployed,mobile,branch,trial
125,29.6,74972.34,49309.91,627.0,20,16754.48,133756.73,27.4,0.32,F,basic,South,bachelor,married,employed,mobile,callcenter,free
126,37.6,32168.72,39093.67,550.0,17,13050.0,96660.2,7.5,0.23,M,premium,West,highschool,single,retired,mobile,online,paid
127,28.4,79644.84,43208.87,553.0,16,20187.27,80739.83,29.1,0.21,M,basic,East,highschool,married,student,mobile,online,trial
128,32.9,82992.05,24964.97,568.0,16,16090.92,199181.01,15.4,0.41,F,standard,North,bachelor,married,employed,mobile,callcenter,free
129,19.9,43786.7,44949.83,670.0,24,23789.64,130493.83,24.7,0.36,M,basic,West,bachelor,single,employed,mobile,branch,free
130,24.2,72508.63,50388.43,625.0,20,26248.2,99045.26,8.0,0.3,F,basic,West,bachelor,single,student,mobile,branch,free
131,38.8,68342.23,48302.7,605.0,30,17670.67,147687.38,18.0,0.24,M,basic,North,highschool,married,student,desktop,branch,trial
132,37.1,89371.08,45405.29,629.0,17,8152.16,62776.8,29.9,0.22,F,basic,East,master,single,employed,mobile,online,free
133,40.9,55842.51,34646.47,523.0,18,9080.89,160953.17,7.4,0.23,F,basic,South,bachelor,married,student,mobile,online,free
134,48.9,59734.28,41103.56,671.0,20,11889.05,68650.91,12.4,0.34,M,basic,West,highschool,married,employed,desktop,online,free
135,59.1,54665.13,37046.2,558.0,25,11767.65,143554.43,20.2,0.27,M,basic,South,master,married,employed,desktop,callcenter,trial
136,34.8,100977.73,41603.68,571.0,21,10654.22,80481.32,17.6,0.24,M,basic,North,bachelor,married,employed,mobile,branch,paid
137,22.1,60170.6,22658.78,635.0,21,19993.15,144512.31,1.3,0.19,F,basic,South,bachelor,married,employed,mobile,callcenter,paid
138,36.5,71989.65,31357.85,736.0,19,12242.04,125516.34,18.9,0.31,F,basic,South,master,single,employed,tablet,callcenter,free
139,53.5,65214.03,43673.31,494.0,25,26418.18,149359.33,24.5,0.28,M,basic,West,bachelor,single,employed,desktop,branch,free
140,27.9,69502.88,44968.45,512.0,16,13574.39,147431.07,27.4,0.57,F,premium,West,master,single,student,mobile,online,free
141,27.7,72685.06,37670.29,468.0,11,16894.4,47023.24,27.9,0.35,M,standard,East,highschool,single,employed,mobile,branch,paid
142,33.7,58405.38,44418.14,641.0,27,24808.49,120847.77,17.0,0.04,F,basic,East,bachelor,married,employed,mobile,online,paid
143,38.5,57629.4,37715.66,624.0,31,13635.45,74921.91,23.2,0.62,M,basic,North,bachelor,single,employed,mobile,callcenter,free
144,46.5,65912.17,45841.19,574.0,17,12619.47,153794.87,28.0,0.33,F,premium,East,bachelor,single,student,mobile,online,free
145,43.8,91174.38,53283.58,720.0,24,15849.2,91848.17,23.4,0.28,F,premium,South,highschool,married,student,desktop,online,paid
146,41.1,83697.42,37011.41,560.0,16,5760.26,82312.44,29.1,0.27,M,basic,South,bachelor,married,employed,mobile,callcenter,free
147,11.8,51028.27,34408.61,503.0,17,14760.22,152480.42,16.4,0.1,M,premium,South,highschool,married,employed,mobile,callcenter,free
148,33.8,61555.98,51607.12,474.0,36,14114.11,158436.85,11.2,0.16,M,standard,East,highschool,single,student,mobile,online,paid
149,25.1,92475.63,45597.26,616.0,17,22557.56,129993.6,28.8,0.25,F,basic,West,bachelor,divorced,employed,mobile,callcenter,free
150,33.7,105844.79,44914.8,620.0,17,17747.69,135204.97,20.9,0.37,M,premium,South,highschool,single,employed,mobile,branch,trial
151,29.4,60358.3,30852.93,496.0,26,11698.41,110935.34,28.8,0.2,M,basic,East,bachelor,single,retired,desktop,online,free
152,34.0,52840.23,39200.93,507.0,26,19037.37,212983.28,9.1,0.2,F,basic,West,highschool,married,student,mobile,callcenter,paid
153,43.5,72344.29,40955.59,464.0,22,16853.42,130029.07,20.6,0.32,M,basic,South,bachelor,single,employed,mobile,online,free
154,33.4,70618.41,56570.34,517.0,18,12208.34,79193.05,23.5,0.11,M,basic,West,bachelor,widowed,unemployed,tablet,online,paid
155,17.6,77592.37,33665.91,661.0,21,19635.67,133503.55,14.7,0.64,M,basic,North,doctorate,married,employed,mobile,branch,free
156,41.5,72595.49,21241.83,538.0,28,11184.02,129143.76,10.0,0.11,M,premium,North,bachelor,single,employed,mobile,callcenter,free
157,26.8,80892.11,46592.0,622.0,19,20271.5,105931.65,23.4,0.12,F,standard,East,master,single,student,mobile,branch,paid
158,31.7,75884.94,28681.6,552.0,20,9729.03,151437.43,19.5,0.35,M,standard,East,highschool,single,retired,mobile,online,trial
159,31.9,69359.99,42253.89,681.0,28,10673.87,136907.29,8.8,0.05,F,basic,North,highschool,married,employed,mobile,callcenter,trial
160,23.5,71887.57,42822.06,698.0,26,14045.52,155199.51,21.8,0.27,F,basic,North,highschool,married,employed,desktop,branch,free
161,18.3,73722.89,31893.47,578.0,14,15254.35,98607.01,17.2,0.2,F,standard,West,master,married,unemployed,mobile,online,free
162,35.7,76586.9,40551.63,524.0,23,20201.09,72959.72,15.9,0.35,M,standard,South,highschool,single,employed,mobile,online,paid
163,42.5,73679.77,32757.18,777.0,19,13873.55,97443.68,24.2,0.65,M,basic,South,bachelor,married,student,mobile,callcenter,paid
164,43.9,67178.57,43760.29,664.0,19,20570.91,76916.75,21.7,0.21,F,basic,West,doctorate,divorced,retired,mobile,branch,free
165,5.7,89117.13,36030.64,663.0,21,18297.99,58428.32,8.4,0.68,F,premium,North,doctorate,married,retired,mobile,callcenter,paid
166,31.1,59069.33,22329.98,723.0,19,8688.2,72785.88,5.2,0.21,M,basic,North,highschool,single,employed,desktop,callcenter,free
167,42.4,77071.84,42987.05,447.0,17,17560.14,192656.8,11.7,0.51,M,basic,East,master,single,employed,desktop,online,paid
168,55.2,64656.28,28013.63,607.0,18,15408.18,20621.04,16.4,0.08,M,premium,North,highschool,married,employed,mobile,online,free
169,46.4,80793.94,41129.8,754.0,23,16370.41,110713.14,1.9,0.19,F,standard,South,highschool,divorced,employed,mobile,online,paid
170,22.5,72021.18,30294.61,637.0,16,18150.26,123871.28,7.4,0.17,M,basic,South,bachelor,single,employed,desktop,branch,free
171,30.3,59776.82,41848.01,581.0,21,6892.56,141229.37,0.4,0.49,M,basic,South,bachelor,widowed,student,tablet,branch,free
172,46.7,58936.57,41216.62,669.0,30,11518.25,145511.79,13.7,0.43,M,premium,East,bachelor,single,employed,mobile,callcenter,free
173,27.0,76726.61,43428.73,459.0,18,14263.3,164463.01,3.5,0.11,F,basic,East,bachelor,married,employed,mobile,online,paid
174,12.9,72879.58,35954.09,638.0,23,12758.79,85701.89,0.6,0.39,F,standard,East,bachelor,married,student,desktop,online,free
175,30.3,63192.79,40096.83,659.0,23,19966.11,96993.75,10.1,0.35,M,basic,West,bachelor,married,employed,mobile,callcenter,paid
176,34.9,55491.23,40230.14,687.0,14,12094.14,168520.84,15.3,0.16,F,standard,North,master,married,employed,desktop,online,free
177,39.3,44062.15,50988.65,576.0,19,8786.74,138398.52,21.3,0.18,M,basic,West,bachelor,divorced,student,mobile,callcenter,free
178,29.6,68596.11,45800.21,530.0,18,12103.37,217730.18,29.5,0.16,M,standard,South,master,divorced,employed,mobile,callcenter,paid
179,42.8,76619.45,22907.39,562.0,15,10394.74,70829.81,10.2,0.45,M,basic,East,doctorate,divorced,retired,mobile,callcenter,paid
180,31.7,59359.67,38855.28,620.0,21,16385.79,183717.31,10.1,0.47,F,basic,East,highschool,married,employed,mobile,callcenter,paid
181,40.8,67647.93,30237.12,615.0,26,13232.38,159274.25,29.4,0.28,M,basic,South,bachelor,single,student,mobile,callcenter,paid
182,35.4,78662.57,46765.75,705.0,26,15795.48,119945.51,7.1,0.58,M,standard,West,bachelor,divorced,employed,mobile,callcenter,paid
183,16.8,66491.6,30013.5,510.0,12,14173.58,110454.16,3.7,0.16,F,basic,South,master,single,student,mobile,branch,free
184,16.4,104262.48,32713.48,599.0,22,5427.29,22576.29,14.9,0.14,M,basic,East,bachelor,single,employed,desktop,online,free
185,16.0,49290.28,35480.72,521.0,15,11595.05,119215.94,2.8,0.67,F,basic,South,bachelor,single,employed,desktop,callcenter,trial
186,38.6,76670.14,17793.45,660.0,26,6388.3,66022.34,10.5,0.24,F,standard,North,master,single,student,mobile,online,free
187,35.4,95256.97,39889.34,678.0,26,22867.27,115219.8,28.6,0.16,M,basic,South,bachelor,married,employed,tablet,online,trial
188,24.6,65856.16,50882.44,673.0,25,12584.67,174117.27,17.4,0.3,M,basic,East,bachelor,married,retired,mobile,online,paid
189,40.8,76550.06,38295.09,509.0,27,12508.11,101548.27,7.7,0.27,M,basic,West,master,single,employed,desktop,online,free
190,24.4,64901.54,47761.39,677.0,22,4287.85,94674.96,7.2,0.22,M,standard,West,highschool,divorced,employed,mobile,online,paid
191,16.9,93870.38,36110.55,671.0,5,16127.6,141121.93,5.9,0.69,M,standard,South,master,married,student,mobile,callcenter,free
192,36.1,70579.81,31429.97,486.0,20,23323.0,114846.41,10.9,0.36,M,basic,East,master,married,employed,mobile,callcenter,free
193,45.9,109569.63,39739.64,561.0,27,13667.69,171635.28,25.1,0.19,M,standard,East,bachelor,single,student,mobile,online,free
194,41.8,74036.57,43789.58,628.0,18,3407.62,78839.47,12.4,0.21,M,basic,West,doctorate,married,student,desktop,online,free
195,26.6,60360.67,42288.27,699.0,24,8527.87,173740.55,6.5,0.16,M,premium,North,highschool,married,unemployed,mobile,online,free
196,17.6,61519.14,41662.71,596.0,27,11623.1,56210.43,18.5,0.19,M,standard,West,master,single,unemployed,mobile,branch,paid
197,34.4,68311.15,44699.79,785.0,30,16764.93,159018.69,3.8,0.06,M,standard,West,highschool,single,employed,mobile,callcenter,trial
198,49.7,43888.18,41455.93,607.0,18,14824.92,116164.3,28.4,0.35,M,basic,East,highschool,single,employed,desktop,branch,paid
199,44.9,60788.88,34089.36,565.0,23,13752.73,127223.78,12.1,0.35,F,basic,South,master,married,student,mobile,online,paid
200,40.1,76016.61,35641.83,554.0,18,13512.42,112222.96,3.6,0.17,M,basic,East,highschool,widowed,employed,mobile,branch,paid
201,26.0,65327.73,36954.67,616.0,18,13882.99,164224.41,19.0,0.55,F,standard,West,highschool,married,employed,mobile,branch,free
202,23.3,52280.28,42459.52,600.0,21,17924.31,174392.96,24.1,0.18,M,basic,West,highschool,single,student,desktop,branch,trial
203,41.9,66704.67,53782.37,632.0,25,12253.1,133543.08,1.8,0.18,M,basic,West,master,single,employed,desktop,branch,free
204,20.6,75238.09,33274.05,603.0,24,15903.66,161621.32,16.8,0.14,F,standard,North,bachelor,single,unemployed,mobile,online,free
205,54.7,70902.19,51119.03,502.0,16,13992.81,69674.15,26.5,0.45,M,basic,East,bachelor,married,student,desktop,online,free
206,44.2,51636.89,36841.29,734.0,22,19332.19,175481.83,10.2,0.19,M,basic,North,highschool,married,employed,mobile,branch,paid
207,25.9,75653.15,45102.7,459.0,17,14317.84,150972.37,23.7,0.56,F,basic,North,bachelor,married,student,desktop,online,free
208,33.9,43392.1,45429.87,720.0,26,14984.35,108905.37,10.2,0.52,M,standard,East,bachelor,single,employed,mobile,branch,trial
209,19.1,99203.84,37540.66,550.0,19,11551.08,88238.26,1.6,0.18,F,standard,West,bachelor,married,employed,desktop,online,free
